,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
cyprus,0.004,0.764,0.48,-0.463,-0.171,0.509,-0.691,0.067,0.063,0.1,-0.165,-0.415,-0.069,-0.228,-0.169,-0.455,-0.019,0.093,0.404,-0.314,0.057,-0.586,-0.7,-0.25,0.012,0.073,-0.284,-0.041,-0.113,0.032,-0.1,-1.062,-0.239,0.584,-0.125,0.276,-0.286,0.788,0.928,0.33,0.758,0.594,0.578,0.366,0.317,0.341,0.795,0.979,0.967,1.779,0.479,0.938,0.984,1.212,0.954,1.293,0.863,1.866,1.171,1.385
czech-republic,-1.324,0.413,0.123,0.579,0.188,0.757,-0.812,-0.825,-0.26,-0.802,0.631,0.8,0.163,-0.365,-0.443,0.185,-0.073,0.064,0.775,0.812,0.145,0.511,-0.424,-0.021,-0.867,0.229,0.649,0.982,-0.174,-0.75,-0.103,-0.617,0.743,1.201,1.175,-0.023,1.321,0.357,1.663,0.614,-0.947,0.349,0.907,1.098,1.866,0.578,1.414,1.085,0.653,0.537,1.092,1.81,1.622,1.161,-0.051,1.384,1.222,0.806,2.255,2.191
denmark-(europe),0.837,-0.655,-1.027,-0.139,-0.671,-0.454,0.748,0.147,-0.315,-0.708,0.496,0.144,0.471,0.836,1.201,0.031,0.206,-0.167,-1.06,-0.388,-0.341,0.449,0.788,0.353,-1.065,-0.546,-1.011,0.89,1.599,1.75,0.629,1.402,0.088,1.004,0.654,-0.737,0.883,0.585,1.292,1.597,0.614,1.444,0.983,1.018,1.045,1.677,1.75,1.696,1.128,-0.756,1.207,0.593,0.64,2.364,1.501,1.458,1.337,1.852,1.891,2.299
denmark,-0.284,0.971,0.621,-0.065,0.749,-0.482,-0.18,-0.657,-0.208,-0.414,-1.374,-0.426,-0.859,0.221,-1.057,0.231,0.206,0.052,-0.349,0.846,-0.234,-0.865,-2.185,-1.154,0.682,0.081,-0.486,0.416,-1.073,-0.362,-0.006,-1.247,-1.026,-0.372,0.089,0.978,0.339,1.03,-0.003,0.928,0.623,1.364,1.947,0.885,2.057,1.108,1.166,0.839,0.926,2.593,0.924,1.471,0.947,1.679,-0.067,2.509,1.067,0.728,1.777,0.909
djibouti,0.029,-0.193,0.135,-0.339,-0.489,-0.121,-0.453,-0.472,0.146,-0.011,-0.224,0.44,0.486,-0.196,0.048,0.098,0.367,0.469,0.324,0.848,0.203,0.317,0.416,-0.035,0.141,0.182,0.507,0.759,0.118,0.625,0.597,0.403,0.118,0.449,0.702,0.594,0.827,1.089,0.731,0.774,0.722,1.068,1.082,0.843,1.062,1.002,0.957,0.57,1.029,0.947,1.005,0.937,1.128,0.96,1.474,1.454,1.492,1.246,1.566,1.633
dominica,0.027,0.092,0.2,-0.034,-0.122,-0.052,-0.323,-0.283,0.182,0.053,-0.237,0.028,0.138,-0.261,-0.271,-0.39,0.171,0.199,0.16,0.509,0.572,0.143,0.384,-0.059,-0.07,-0.031,0.665,0.331,0.064,0.275,0.282,0.279,0.417,0.333,0.697,0.366,0.705,1.025,0.53,0.29,0.629,0.577,0.745,0.498,0.977,0.795,0.784,0.319,0.558,1.127,0.641,0.785,0.719,0.657,1.083,1.073,0.92,0.638,0.996,1.148
dominican-republic,0.029,0.044,0.152,0.121,-0.172,0.021,-0.007,-0.009,0.324,-0.086,-0.33,-0.143,0.099,-0.398,-0.211,-0.298,0.222,0.177,-0.02,0.582,0.319,0.2,0.523,-0.062,-0.029,0.129,0.523,0.335,0.179,0.41,0.359,0.383,0.28,0.469,0.595,0.237,0.901,0.871,0.482,0.279,0.555,0.739,0.875,0.593,0.696,0.846,0.918,0.578,0.718,0.824,0.447,0.669,0.864,0.946,1.236,0.845,0.719,0.62,1.018,1.169
ecuador,-0.137,-0.137,-0.006,-0.151,0.145,0.139,-0.239,-0.119,0.465,-0.041,-0.426,0.452,0.132,-0.228,-0.418,0.006,0.243,0.147,0.305,0.337,0.178,0.567,1.004,-0.007,-0.11,0.115,0.904,0.233,-0.061,0.472,0.613,0.675,0.506,0.305,0.628,0.055,1.13,1.161,-0.021,0.075,0.314,0.711,0.668,0.659,0.501,0.555,0.385,0.288,0.73,0.693,0.522,0.551,0.541,0.839,1.266,1.245,0.856,0.722,0.964,1.202
egypt,-0.661,0.6,0.736,-0.484,-0.244,0.421,-0.694,-0.209,0.461,-0.263,-0.297,-0.137,-0.198,-0.229,-0.375,-0.087,-0.238,-0.006,0.579,0.131,-0.099,-0.445,-0.845,-0.139,0.271,-0.066,-0.129,0.238,-0.141,0.139,0.083,-0.468,0.331,0.307,0.256,0.488,-0.072,0.695,0.786,-0.107,0.539,0.7,0.584,0.559,0.562,0.49,0.585,0.891,0.793,2.204,0.369,0.97,0.952,1.323,1.108,1.492,0.822,1.827,0.949,0.855
el-salvador,-0.048,-0.352,-0.125,0.016,0.116,-0.113,-0.219,-0.406,0.21,-0.105,-0.345,0.337,0.155,-0.287,-0.18,-0.247,0.31,0.175,0.162,0.25,-0.065,0.214,0.576,-0.253,-0.068,0.025,0.601,0.248,-0.06,0.306,0.391,0.472,0.368,0.672,0.591,0.056,0.765,0.887,0.026,0.088,0.295,0.564,0.591,0.543,0.302,0.419,0.236,-0.042,0.465,0.083,0.216,0.327,0.502,0.558,1.241,0.939,0.552,0.583,0.991,1.226
equatorial-guinea,-0.197,-0.063,0.127,-0.262,-0.184,0.142,-0.07,-0.09,0.149,0.16,-0.106,0.092,0.468,-0.093,-0.101,-0.235,0.336,0.228,0.513,0.477,0.08,0.047,0.382,0.353,0.048,0.136,0.706,0.507,0.232,0.401,0.386,0.054,0.324,0.365,0.759,0.378,0.461,1.133,0.525,0.411,0.434,0.741,0.941,0.862,0.851,0.855,0.911,0.887,0.934,0.997,0.602,0.512,0.671,0.829,0.867,1.179,1.019,0.666,1.294,1.185
eritrea,-0.284,0.022,0.287,-0.602,-0.295,0.136,-0.591,-0.433,0.416,0.037,-0.491,0.257,0.462,-0.134,-0.125,0.143,-0.064,0.203,0.327,0.662,0.264,-0.09,-0.015,0.43,0.172,0.176,0.678,0.343,-0.196,0.54,0.451,-0.178,0.101,0.21,0.434,0.484,0.447,0.784,0.72,0.663,0.729,1.007,1.057,0.899,0.967,0.758,0.726,0.891,1.333,1.218,0.828,0.99,1.137,1.048,1.484,1.363,1.357,1.088,1.1,0.876
estonia,1.667,-0.209,-0.751,0.191,-0.502,-0.892,0.458,-0.325,-1.208,-0.648,0.45,1.023,0.526,1.39,1.928,-1.153,-0.187,-1.105,-0.117,-0.444,0.309,0.596,1.333,0.898,-1.294,0.058,-1.525,0.871,2.388,1.871,1.424,1.613,0.316,0.391,1.333,-0.259,0.92,0.524,1.607,2.19,1.156,1.322,0.82,1.103,1.169,1.649,1.95,2.393,1.166,0.174,1.991,0.61,1.745,2.049,2.563,1.639,1.472,2.149,2.464,3.404
ethiopia,-0.159,-0.237,-0.037,-0.239,-0.21,-0.112,-0.418,-0.49,0.132,0.094,-0.25,0.321,0.527,-0.151,-0.066,0.123,0.253,0.284,0.391,0.725,0.232,0.31,0.572,0.302,0.127,0.334,0.793,0.588,-0.041,0.448,0.572,0.454,0.173,0.494,0.737,0.532,0.706,0.814,0.446,0.559,0.736,1.074,1.07,0.928,1.084,0.955,0.841,0.766,1.325,1.033,0.965,0.999,1.042,0.946,1.448,1.38,1.223,0.787,1.216,1.233
falkland-islands-(islas-malvinas),0.433,0.099,-0.21,-0.729,0.336,-0.315,0.451,-0.249,-0.317,0.104,-0.408,0.105,0.401,-0.141,0.178,-0.259,-0.325,0.011,0.117,0.014,-0.34,0.163,0.308,0.583,0.012,0.222,0.515,0.652,-0.229,0.715,-0.006,0.399,0.196,1.105,0.656,-0.087,0.145,0.881,0.167,-0.109,0.629,0.08,1.413,0.761,0.17,0.409,-0.199,0.299,1.156,0.374,0.842,0.113,0.712,0.319,0.602,0.888,0.445,0.731,0.347,0.283
faroe-islands,-0.033,0.147,-0.064,0.856,0.648,0.444,-0.363,-0.163,0.339,-0.452,-0.411,-0.095,-0.377,-0.52,-0.403,0.286,0.741,-0.198,0.632,0.1,0.373,-0.085,-0.223,-0.96,0.022,-0.659,0.247,-0.235,0.513,-0.401,-0.205,0.27,0.089,0.323,0.607,0.754,0.509,-0.101,0.045,-0.241,0.179,0.792,0.264,0.323,0.397,0.322,1.102,1.418,1.053,0.515,1.086,0.74,0.736,1.188,-0.012,0.925,0.21,0.523,1.53,0.591
federated-states-of-micronesia,0.021,0.028,-0.052,-0.199,-0.212,0.052,-0.085,-0.041,0.092,0.221,-0.245,-0.204,0.181,-0.109,-0.091,-0.127,0.234,0.297,0.258,0.397,0.526,0.261,0.554,0.534,0.264,0.435,0.346,0.555,0.223,0.477,0.293,0.372,0.208,0.509,0.66,0.542,0.512,0.751,0.255,0.63,0.684,0.743,0.655,0.867,0.889,0.711,0.675,0.547,0.828,0.899,0.674,0.883,1.105,0.813,0.868,1.294,1.208,1.058,1.152,1.343
fiji,0.197,-0.061,-0.025,0.181,-0.56,-0.376,-0.214,-0.128,-0.093,0.148,0.052,-0.222,0.378,0.212,0.341,0.078,-0.07,-0.139,0.192,0.186,0.306,0.18,0.224,0.527,0.391,-0.026,0.147,0.872,0.406,0.441,0.24,0.237,-0.101,0.064,0.618,0.719,0.304,0.829,0.628,0.752,0.751,0.77,0.521,0.521,0.639,0.628,1.076,0.702,0.211,0.941,0.814,0.52,0.905,0.692,0.57,1.021,1.026,0.842,0.939,1.14
finland,1.631,-0.436,-0.174,0.479,-0.52,-1.66,0.594,-0.934,-0.905,-0.273,-0.59,1.478,0.211,1.982,1.545,-1.064,-0.229,-1.303,0.066,-0.57,-0.528,0.393,0.597,1.041,-1.876,-0.212,-1.516,0.489,2.321,1.569,1.008,1.286,0.448,0.421,0.997,0.339,0.794,-0.123,0.958,2.236,0.739,0.844,1.115,1.269,1.918,1.549,1.77,1.848,1.064,-0.206,2.199,0.507,2.048,2.311,2.675,1.911,1.307,1.968,1.479,3.167
france-(europe),1.003,-0.589,-0.981,0.131,-0.377,0.423,0.271,-0.046,-0.103,0.013,-0.03,-0.342,-0.081,0.183,0.096,0.419,0.168,-0.303,-0.147,-0.48,0.156,0.891,0.637,-0.053,-0.341,-0.079,-0.046,0.743,1.228,1.257,0.253,0.649,0.268,1.475,1.03,-0.007,1.29,0.706,1.116,1.24,0.845,1.27,1.578,0.76,0.734,1.425,1.102,0.734,1.124,0.024,1.794,0.928,0.471,1.694,1.508,1.078,1.337,1.886,1.728,2.052
france,0.81,-0.481,-0.819,0.101,-0.337,0.349,0.195,-0.068,-0.014,0.038,-0.068,-0.299,-0.029,0.113,0.059,0.332,0.149,-0.224,-0.074,-0.335,0.19,0.771,0.619,-0.044,-0.287,-0.046,0.064,0.675,1.022,1.088,0.257,0.597,0.265,1.248,0.977,0.069,1.15,0.793,1.017,1.087,0.805,1.17,1.436,0.762,0.771,1.279,1.033,0.725,1.073,0.224,1.614,0.909,0.51,1.526,1.41,1.118,1.293,1.692,1.623,1.894
french-guiana,-0.266,0.084,0.479,0.013,-0.047,-0.037,0.101,0.075,0.026,-0.007,0.228,-0.187,-0.187,0.454,0.065,-0.42,-0.129,0.033,-0.371,-0.319,-0.179,0.016,0.08,0.32,0.316,0.155,0.048,0.381,-0.273,-0.273,-0.016,0.615,0.179,-0.157,0.169,0.27,0.353,0.248,0.185,0.589,0.257,0.515,1.024,0.387,0.189,0.462,0.598,0.892,0.861,1.335,0.764,0.658,0.579,0.844,1.174,0.726,0.8,0.739,0.772,0.934
french-polynesia,-0.433,0.031,-0.014,0.237,-0.03,-0.151,-0.167,-0.047,-0.251,-0.004,0.191,-0.236,-0.288,0.497,0.258,-0.408,0.271,0.473,-0.284,-0.126,-0.124,0.171,-0.07,0.005,0.18,0.058,0.237,0.289,0.254,0.183,0.354,0.65,0.446,0.134,0.573,0.482,0.338,0.256,0.309,0.44,0.223,0.303,0.687,0.532,0.472,0.398,0.788,0.738,0.573,0.672,0.652,0.639,0.278,0.848,0.735,0.2,0.707,0.584,0.622,0.857
french-southern-and-antarctic-lands,0.041,-0.336,0.063,-0.195,0.285,-0.149,-0.12,-0.469,-0.659,-0.073,-0.225,-0.462,0.689,-0.012,0.04,0.203,-0.272,-0.025,-0.051,0.124,0.001,-0.001,0.37,0.236,0.298,0.222,0.469,-0.037,-0.064,0.036,0.188,0.306,-0.333,0.641,0.106,0.584,0.333,0.606,0.153,0.172,0.09,0.759,0.699,0.344,0.368,0.429,0.408,0.524,0.492,0.645,0.5,0.227,0.692,0.387,0.761,0.621,1.03,0.951,0.412,1.003
gabon,-0.242,-0.071,0.164,-0.213,-0.173,0.158,-0.129,-0.152,0.146,0.14,-0.092,0.063,0.479,-0.042,-0.02,-0.207,0.386,0.223,0.534,0.481,-0.014,-0.125,0.372,0.378,0.02,0.125,0.654,0.459,0.262,0.337,0.344,0.03,0.238,0.322,0.648,0.21,0.442,1.21,0.499,0.401,0.437,0.745,0.92,0.843,0.936,0.985,0.932,0.806,0.927,1.054,0.512,0.479,0.611,0.745,0.838,1.236,1.026,0.714,1.398,1.254
gambia,-0.017,0.103,0.133,-0.027,-0.448,0.083,-0.481,-0.386,0.673,0.45,-0.198,0.197,0.479,-0.405,-0.197,-0.26,0.64,0.263,0.686,0.747,0.675,0.155,1.152,0.409,0.286,0.398,1.081,0.728,0.578,1.056,0.698,0.746,0.872,0.57,0.805,1.105,1.164,1.409,0.418,0.618,1.165,1.189,0.788,0.864,1.251,0.891,1.04,1.032,0.578,1.349,0.917,0.853,1.052,1.04,0.931,1.469,1.489,0.875,1.225,1.711
gaza-strip,-0.133,-0.109,0.33,-0.737,0.864,-0.298,0.92,0.706,-0.615,0.016,0.59,-0.966,0.006,0.281,0.074,-0.41,-0.562,-0.231,-0.335,-0.412,-0.477,-0.128,0.132,0.552,-0.099,0.006,-0.775,-0.854,-0.326,0.191,-0.04,-0.091,0.007,-0.049,0.135,0.138,-0.945,0.09,0.652,0.136,0.651,-0.114,1.081,0.99,0.328,1.022,0.744,0.572,0.513,0.421,0.385,0.727,0.984,0.891,2.411,0.313,1.122,0.907,1.134,1.054
georgia,0.365,1.145,0.087,-0.844,-0.355,1.959,-0.676,0.182,-0.547,0.66,0.284,-0.562,-0.696,-0.294,0.217,-0.821,-0.237,-0.138,0.997,0.216,0.866,-0.638,0.03,-0.062,-0.205,0.24,-0.377,-0.344,0.358,0.297,0.274,-1.15,-1.086,0.173,0.875,0.584,0.005,1.369,1.215,0.837,1.248,0.615,0.157,0.602,0.713,0.861,0.828,0.611,0.851,2.515,-0.066,1.22,1.005,1.614,1.519,0.961,1.202,2.403,1.783,1.726
germany,0.857,-0.973,-1.055,-0.057,-0.626,0.387,0.761,0.036,-0.349,-0.421,0.298,-0.236,0.103,0.698,0.81,0.279,0.529,-0.342,-0.389,-0.519,0.041,0.781,0.899,-0.124,-0.663,-0.196,-0.656,0.93,1.36,1.362,0.2,1.204,0.335,1.558,0.758,-0.898,0.778,0.932,1.356,1.748,0.858,1.4,1.206,0.762,0.814,1.389,1.682,1.323,1.014,-0.348,1.544,0.932,0.552,2.225,1.784,1.427,1.443,2.3,2.108,2.217
ghana,-0.124,-0.184,0.106,-0.303,-0.202,0.099,-0.237,-0.065,0.277,0.284,-0.188,0.113,0.585,-0.074,-0.201,-0.375,0.284,0.089,0.441,0.385,0.334,0.111,0.735,0.538,0.273,0.212,1.038,0.559,0.297,0.637,0.341,0.186,0.447,0.383,0.696,0.594,0.548,1.185,0.524,0.494,0.683,0.803,1.004,0.921,1.102,1.07,0.951,0.751,0.855,1.176,0.816,0.602,0.731,0.79,0.934,1.22,1.124,0.95,1.149,1.059
greece,0.304,0.445,0.376,-0.287,-0.308,0.733,-0.127,0.12,0.02,0.154,-0.275,-0.202,-0.209,-0.255,-0.207,-0.739,0.321,-0.368,0.155,-0.409,-0.045,-0.201,-0.372,-0.108,0.201,0.142,-0.057,0.157,-0.027,0.572,-0.483,-0.148,0.116,1.063,0.172,-0.091,-0.174,0.548,1.018,0.715,0.963,0.692,0.502,0.458,0.19,0.222,1.093,1.125,1.025,1.458,0.396,1.24,1.355,1.218,0.992,1.249,0.893,1.617,1.496,1.311
greenland,-0.205,0.503,0.386,-0.031,0.939,-0.427,0.996,0.677,0.027,0.916,-0.393,-0.076,-0.564,-0.067,-0.255,-1.243,-0.335,-0.928,0.166,-1.145,0.377,0.191,-0.133,-0.189,0.946,-0.051,-0.64,-2.066,-0.944,0.809,0.209,-0.383,0.506,-1.075,-0.345,-0.028,-1.261,-0.982,-0.342,0.14,1.013,0.313,1.068,0.015,0.898,0.656,1.411,2.005,0.933,2.16,1.139,1.222,0.997,1.033,2.744,1.052,1.615,1.059,1.76,0.07
grenada,0.126,0.109,0.255,-0.103,-0.031,0.068,-0.249,-0.275,0.369,0.135,-0.333,-0.044,0.1,-0.26,-0.367,-0.291,0.162,0.238,0.221,0.382,0.497,0.148,0.401,-0.031,-0.248,-0.075,0.694,0.421,0.071,0.275,0.241,0.17,0.416,0.351,0.725,0.436,0.613,1.106,0.547,0.34,0.605,0.526,0.742,0.489,0.961,0.744,0.644,0.412,0.628,1.174,0.689,0.608,0.67,0.656,0.9,1.102,0.88,0.617,1.038,1.082
guadeloupe,-0.307,-0.083,0.354,0.119,0.21,0.017,0.109,0.217,0.035,-0.079,-0.038,-0.286,-0.231,0.261,0.099,-0.213,-0.035,0.243,-0.264,-0.284,-0.421,0.129,0.161,0.055,0.523,0.422,0.075,0.403,-0.083,-0.067,0.053,0.569,0.301,0.042,0.24,0.237,0.267,0.304,0.284,0.64,0.219,0.563,0.89,0.408,0.168,0.563,0.657,0.787,0.482,0.956,0.81,0.826,0.276,0.561,1.026,0.526,0.642,0.633,0.611,0.975
guam,-0.173,0.064,-0.162,-0.06,-0.194,0.071,-0.214,-0.163,0.096,0.105,0.045,-0.329,0.169,0.095,-0.103,-0.129,0.102,-0.105,0.063,0.234,0.447,-0.043,0.467,0.605,0.293,0.246,0.46,0.588,0.426,0.333,0.317,0.284,0.355,0.453,0.411,0.568,0.56,0.771,0.716,0.595,0.691,0.515,0.378,0.668,0.652,0.665,0.684,0.773,0.74,0.645,0.655,0.758,0.948,0.847,0.623,1.053,1.004,1.091,0.976,1.056
guatemala,0.013,-0.249,-0.181,0.072,-0.043,-0.245,-0.285,-0.433,0.345,-0.077,-0.123,0.276,0.207,-0.292,-0.002,-0.43,0.139,0.108,0.185,0.245,-0.033,0.341,0.513,-0.158,-0.073,-0.037,0.286,0.254,-0.102,0.171,0.441,0.329,0.23,0.491,0.584,0.002,0.581,0.84,-0.04,-0.109,0.171,0.409,0.578,0.316,0.378,0.262,0.306,0.012,0.339,0.104,0.234,0.232,0.47,0.326,0.91,0.933,0.583,0.508,1.059,1.241
guernsey,-0.719,0.488,0.023,0.981,0.293,0.687,-0.663,-1.215,-0.112,-0.453,0.48,0.119,-0.043,0.14,0.015,0.184,-0.319,0.077,0.084,0.379,0.522,0.027,-0.109,-0.45,-0.216,0.124,0.611,0.534,0.327,-0.339,-0.646,-0.343,0.541,1.329,1.302,-0.107,0.45,0.173,1.092,1.201,0.013,1.113,0.818,1.296,0.87,0.82,1.203,1.198,0.908,0.995,1.16,1.183,0.718,0.687,-0.106,1.428,0.591,0.366,1.576,1.182
guinea-bissau,-0.023,-0.058,0.11,-0.135,-0.401,0.001,-0.377,-0.309,0.485,0.291,-0.162,0.191,0.437,-0.272,-0.136,-0.228,0.532,0.155,0.604,0.723,0.46,0.221,0.936,0.364,0.319,0.345,0.897,0.7,0.543,0.92,0.801,0.653,0.847,0.567,0.801,1.029,0.985,1.237,0.54,0.589,1.049,1.118,0.673,0.828,1.238,0.831,1.001,1.064,0.543,1.257,0.874,0.798,0.931,0.916,0.963,1.374,1.405,1.019,1.219,1.538
guinea,-0.148,-0.152,0.146,-0.131,-0.285,0.004,-0.286,-0.039,0.371,0.244,-0.135,0.156,0.464,-0.174,-0.183,-0.308,0.347,0.178,0.523,0.694,0.432,0.101,0.732,0.354,0.34,0.227,0.974,0.611,0.338,0.638,0.716,0.441,0.733,0.476,0.762,0.988,0.893,1.254,0.531,0.58,0.938,1.029,0.806,0.839,1.174,0.895,1.021,0.889,0.821,1.143,0.858,0.584,0.792,0.705,0.944,1.19,1.259,1.085,1.205,1.226
guyana,-0.06,-0.056,0.03,0.178,0.075,0.22,-0.225,-0.309,0.521,-0.083,-0.483,-0.016,0.143,-0.24,-0.261,-0.118,0.2,0.158,0.297,0.324,0.175,0.224,0.559,-0.222,-0.24,-0.018,0.664,0.242,-0.107,0.364,0.183,0.348,0.095,0.288,0.927,0.513,0.668,1.081,0.427,0.294,0.528,0.614,0.888,0.759,0.913,0.638,0.614,0.423,0.925,0.965,0.699,0.707,0.688,0.938,1.076,1.178,0.974,0.768,0.958,1.005
haiti,0.093,-0.011,0.102,0.128,-0.127,-0.009,0.002,-0.008,0.257,-0.084,-0.294,-0.073,0.045,-0.347,-0.15,-0.224,0.204,0.161,-0.041,0.447,0.219,0.32,0.599,-0.029,-0.041,0.139,0.498,0.39,0.26,0.426,0.489,0.51,0.328,0.554,0.647,0.261,0.898,0.773,0.368,0.217,0.482,0.651,0.823,0.639,0.609,0.662,0.75,0.516,0.695,0.65,0.41,0.598,0.817,0.923,1.253,0.862,0.706,0.71,1.094,1.138
heard-island-and-mcdonald-islands,0.078,-0.337,0.043,-0.217,0.087,0.04,-0.292,-0.501,-0.645,-0.257,-0.053,-0.357,0.584,-0.107,0.089,0.246,-0.171,0.109,0.152,0.158,-0.113,-0.019,0.274,0.138,0.307,0.204,0.012,-0.051,-0.057,-0.08,0.227,0.184,0.059,0.535,0.158,0.753,0.088,0.152,0.128,0.276,0.202,0.621,0.662,0.238,0.432,0.484,0.413,0.702,0.534,0.487,0.383,0.199,0.687,0.168,0.616,0.379,0.741,1.177,0.259,0.922
honduras,-0.029,-0.245,-0.191,0.067,0.033,-0.181,-0.173,-0.358,0.212,-0.184,-0.186,0.214,0.241,-0.282,-0.111,-0.355,0.176,0.174,0.215,0.195,-0.086,0.206,0.7,-0.056,-0.014,-0.03,0.361,0.344,-0.045,0.166,0.371,0.463,0.274,0.622,0.824,0.056,0.803,1.087,0.138,0.089,0.178,0.419,0.466,0.439,0.625,0.528,0.356,0.051,0.422,0.168,0.389,0.355,0.633,0.579,1.098,0.947,0.625,0.529,1.082,1.285
hong-kong,-0.174,-0.267,0.089,0.292,0.269,0.116,-0.092,0.276,0.009,0.124,0.654,-0.246,-0.148,-0.364,-0.26,-0.352,-0.133,0.376,-0.244,-0.062,-0.484,0.309,-0.076,0.078,0.18,0.207,0.034,-0.068,-0.489,-0.225,-0.009,0.656,-0.092,0.128,0.311,0.488,-0.176,0.066,0.468,-0.22,0.095,0.229,0.949,0.602,0.407,0.564,0.799,0.642,0.439,0.32,0.814,0.833,0.163,0.641,0.461,0.065,0.516,0.449,0.617,1.223
hungary,0.737,-0.585,-0.557,-0.607,-0.771,0.691,0.438,0.318,-0.344,-0.246,0.055,0.3,-0.119,0.528,0.668,-0.294,0.398,-0.711,0.35,-1.003,0.196,0.308,0.732,-0.119,-0.784,-0.101,-0.374,0.36,0.796,0.962,-0.244,1.084,0.224,1.674,0.448,-0.536,-0.004,0.512,0.792,1.826,0.677,1.579,0.758,0.433,0.072,0.79,1.822,1.659,1.456,0.474,1.023,1.456,1.265,2.135,1.891,1.323,1.3,2.307,2.325,1.703
iceland,0.484,-0.018,-0.015,0.857,-0.282,-0.82,-0.757,-0.681,-1.036,-0.656,-0.358,0.903,-0.603,0.7,-0.272,0.492,-0.127,0.015,-1.671,0.04,-1.135,-0.386,-0.879,0.31,-0.312,-0.239,0.951,-0.512,-0.342,0.059,0.866,0.093,0.001,-0.154,-0.683,0.632,0.516,-0.133,0.055,0.401,0.676,0.917,1.619,1.245,0.525,1.082,0.942,0.644,0.885,1.097,0.708,0.904,0.567,1.737,0.302,1.61,1.348,1.009,1.044,0.738
india,-0.412,-0.392,-0.037,-0.07,0.004,0.309,-0.106,-0.208,0.434,-0.04,-0.536,0.105,0.208,-0.026,-0.31,0.055,0.119,-0.192,0.348,0.411,0.005,-0.006,-0.25,-0.026,0.275,0.113,0.542,0.49,-0.089,-0.071,0.081,0.018,0.173,0.059,0.224,0.226,-0.126,0.571,0.46,0.323,0.43,0.77,0.511,0.516,0.414,0.672,0.535,0.313,1.045,0.963,0.347,0.449,0.321,0.505,0.754,1.061,0.901,0.78,0.725,0.431
indonesia,-0.173,-0.129,-0.045,-0.051,-0.185,0.046,-0.1,0.042,0.227,0.164,-0.122,0.121,0.321,-0.035,-0.009,0.015,0.119,0.125,0.211,0.202,0.151,0.074,0.41,-0.098,0.076,0.158,0.474,0.389,0.182,0.39,0.258,0.288,0.265,0.203,0.369,0.361,0.498,0.9,0.294,0.329,0.479,0.678,0.608,0.587,0.669,0.569,0.475,0.27,0.661,0.758,0.446,0.538,0.751,0.728,0.829,1.224,0.8,0.821,0.96,1.012
iran,0.181,0.214,0.556,-0.776,0.045,0.683,-0.383,-0.128,-0.219,0.709,0.207,-1.298,0.043,-0.729,-0.234,-0.341,0.562,0.48,0.494,0.639,0.677,-0.44,0.19,-0.119,0.343,-0.089,0.621,0.668,0.106,0.625,0.232,-0.865,-0.059,0.572,0.591,0.371,0.471,1.352,1.35,1.089,1.618,1.3,1.051,1.301,0.966,1.355,0.87,1.012,1.184,2.19,1.056,0.978,1.397,1.146,1.757,1.812,1.682,2.092,1.466,1.112
iraq,-0.128,1.037,0.239,-0.716,0.07,0.995,-1.034,-0.109,0.294,0.429,-0.348,-0.982,-0.067,-0.441,-0.31,-0.555,0.134,0.26,1.045,0.123,0.296,-0.927,-0.625,-0.348,0.093,0.196,0.44,-0.103,0.093,0.294,0.168,-1.38,-0.27,0.537,0.246,0.894,-0.209,1.361,1.383,0.739,1.187,0.681,0.812,0.708,0.602,0.826,0.902,0.933,0.847,2.507,0.454,1.258,0.687,1.421,1.577,1.558,1.699,2.031,1.462,1.801
ireland,0.21,-0.564,-0.8,0.197,-0.502,0.024,-0.079,-0.042,-0.25,0.047,0.516,-0.327,0.277,-0.039,0.536,0.318,0.073,0.125,-0.652,0.012,0.067,0.317,0.545,0.222,-0.444,-0.798,-0.103,0.345,0.731,0.795,0.312,0.291,0.139,0.378,0.99,0.06,1.168,0.962,0.963,0.609,0.518,0.908,0.985,0.918,1.074,1.148,1.345,0.656,0.644,-0.18,0.876,0.608,0.615,1.283,0.595,0.885,1.114,0.903,1.029,0.988
isle-of-man,-0.328,0.549,-0.04,1.024,0.275,0.328,-0.726,-0.897,0.051,-0.51,-0.039,0.127,-0.064,-0.259,0.112,0.517,-0.193,0.196,0.058,0.494,0.41,0.03,-0.095,-0.728,0.018,-0.21,0.324,0.448,0.349,-0.541,-0.731,-0.375,0.391,0.92,1.003,0.226,0.392,-0.069,0.356,0.917,-0.173,1.039,0.86,1.007,0.74,0.46,1.013,1.054,1.086,1.069,1.317,1.309,0.706,0.768,-0.379,1.213,0.447,0.44,1.562,0.775
